sensor_id,timestamp,lat,lon,gps_altitude,roll,pitch,yaw,pressure,temp,baro_altitude
SEN_00000001,1780139657.4231963,37.49990324355994,127.00031224990344,349.43227564486756,-4.224172816906555,-4.493790275660693,9.437589038693215,1013.8107878641393,24.51068190668555,350.5171285882871
SEN_00000002,1780139657.436287,37.50056081929353,126.9994971599956,352.6168124794979,2.7548887383592016,-4.373097902699811,151.96832160896176,1013.7818074851928,25.62081567800635,348.5799598633643
SEN_00000003,1780139657.436489,37.499957514190726,126.9996640460683,347.44216704712125,-4.865958696588867,3.559581854013862,297.2309611400479,1013.1579917100115,25.849855479225504,345.3237029207069
SEN_00000004,1780139657.436589,37.50077368592851,126.99943777151424,345.6105091612865,3.807425480785266,2.9914445600896142,336.1206105679713,1014.0894789428075,24.752897379795105,350.1663695324669
SEN_00000005,1780139657.4367113,37.49919915601995,126.99911184755805,349.4124803020523,-0.7279828920664366,3.763697905578079,121.43906181142063,1013.9304921491629,24.216054980173503,348.092808841119
SEN_00000001,1780139823.0289526,37.499040162495106,127.0006578687667,348.581155260213,0.7619561660779519,-1.4251913730076504,127.90751339177419,1012.5669499888992,24.3031479254697,348.41687424914494
SEN_00000002,1780139823.0414646,37.49905325510877,127.00037344062906,345.2286264892108,-1.7499795044891897,4.9693540962379785,239.96038573569066,1013.502364722095,24.082870873472498,354.6115997849416
SEN_00000003,1780139823.041765,37.50064521484556,127.00002631979939,346.72309087935093,2.4608857850541996,0.2671509717116516,169.42001589113116,1012.4364815345763,25.27811039039242,346.32869510143763
SEN_00000004,1780139823.0418937,37.50084658577762,127.00030181028774,345.71674786171775,-3.89957622832082,-0.8597649641035199,317.7248107335498,1013.6665480696754,25.83907243824961,346.638721376106
SEN_00000005,1780139823.0420296,37.50004360312596,126.99991524371478,348.6829118683296,1.4843831238224494,-3.099226053098898,202.97678113691114,1012.469373530192,24.054187186003972,350.035216477171
SEN_00000001,1780140000.5872896,37.4990530239642,127.00042628933916,348.56203687021616,-4.6186195409532385,2.881493305131169,160.8668034201438,1013.6758651574687,25.62327984400459,346.7070567526298
SEN_00000002,1780140000.6086016,37.50092273867488,127.00096915405027,352.40978391149054,-4.637120668859986,4.267861669067573,171.7908350272912,1013.4231276922002,24.07901994904194,350.65103563285567
SEN_00000003,1780140000.6089993,37.499997542430144,127.00004624752145,345.5631805212538,-4.990888093515259,-3.7714470869260177,285.15029602381554,1013.2329243400306,24.145296918279687,352.089969365286
SEN_00000004,1780140000.609268,37.500263325956034,126.9998475082153,348.0385646724789,0.3836144865068656,-4.295249550440726,78.17919968403724,1013.6046415444554,25.94798627937451,348.6156577832245
